id_unico,Serie,Temporada,Episodio,Nombre_Completo,Fecha_alaire,Premier,Cod_Pais,Pais,Tipo_#,Tipo,Estado_Film_#,Estado_Film,Genero_1_#,Genero_1,Genero_2,Genero_3,Genero_4,Avg_Runtime,Avg_rating,pag_web
1979824,sim-for-you-,4,Chanyeol's Episode 16,sim-for-you-4x16-chanyeols-episode-16,2020-12-01,2019-03-25,KR,"Korea, Republic of",1,regular,1,Running,0,,,,,16.0,,https://www.tvmaze.com/episodes/1979824/sim-for-you-4x16-chanyeols-episode-16
1979222,kotiki-,1,Серия 2,kotiki-1x02-seria-2,2020-12-01,2020-11-30,RU,Russian Federation,1,regular,0,Ended,5,Comedy,,,,12.0,,https://www.tvmaze.com/episodes/1979222/kotiki-1x02-seria-2
2008027,lab-s-antonom-belaevym-,2,Лолита,lab-s-antonom-belaevym-2x06-lolita,2020-12-01,2019-12-17,RU,Russian Federation,1,regular,2,To Be Determined,14,Music,,,,25.0,,https://www.tvmaze.com/episodes/2008027/lab-s-antonom-belaevym-2x06-lolita
1964565,core-sense-,1,Episode 9,core-sense-1x09-episode-9,2020-12-01,2020-10-13,CN,China,1,regular,1,Running,1,Action,Anime,Science-Fiction,,24.0,,https://www.tvmaze.com/episodes/1964565/core-sense-1x09-episode-9
2052503,wu-shen-zhu-zai-,1,Episode 80,wu-shen-zhu-zai-1x80-episode-80,2020-12-01,2020-03-08,CN,China,1,regular,1,Running,1,Action,Adventure,Anime,Fantasy,8.0,,https://www.tvmaze.com/episodes/2052503/wu-shen-zhu-zai-1x80-episode-80
2315116,sono-koi-mousukoshi-atatamemasuka-,1,Episode 5,sono-koi-mousukoshi-atatamemasuka-1x05-episode-5,2020-12-01,2020-10-20,JP,Japan,1,regular,0,Ended,17,Romance,,,,15.0,,https://www.tvmaze.com/episodes/2315116/sono-koi-mousukoshi-atatamemasuka-1x05-episode-5
2387985,run-bts-,5,EP.118 [Photo Story 1],run-bts-5x28-ep118-photo-story-1,2020-12-01,2015-08-01,KR,"Korea, Republic of",1,regular,1,Running,0,,,,,,,https://www.tvmaze.com/episodes/2387985/run-bts-5x28-ep118-photo-story-1
1973538,please-wait-brother-,1,Episode 17,please-wait-brother-1x17-episode-17,2020-12-01,2020-11-17,CN,China,1,regular,0,Ended,5,Comedy,,,,37.0,,https://www.tvmaze.com/episodes/1973538/please-wait-brother-1x17-episode-17
1973539,please-wait-brother-,1,Episode 18,please-wait-brother-1x18-episode-18,2020-12-01,2020-11-17,CN,China,1,regular,0,Ended,5,Comedy,,,,37.0,,https://www.tvmaze.com/episodes/1973539/please-wait-brother-1x18-episode-18
1984264,fearless-whispers-,1,Episode 51,fearless-whispers-1x51-episode-51,2020-12-01,2020-11-06,nan,nan,1,regular,0,Ended,7,Drama,Romance,History,,60.0,,https://www.tvmaze.com/episodes/1984264/fearless-whispers-1x51-episode-51
